=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.04.22 11:31:05 =~=~=~=~=~=~=~=~=~=~=~=
0,555,849,397,6,526,
0,550,835,394,7,519,
0,543,823,391,7,514,
0,536,813,387,7,508,
0,529,800,384,7,504,
0,524,792,382,7,499,
0,519,900,428,7,492,
0,513,895,423,7,487,
0,508,876,418,7,483,
0,502,862,415,7,479,
0,498,847,411,7,526,
0,551,834,407,7,519,
0,543,824,403,7,515,
0,537,812,399,7,508,
0,532,799,396,7,503,
0,526,787,392,7,497,
0,520,839,430,7,493,
0,515,894,427,7,487,
0,510,876,423,7,483,
0,504,862,419,7,478,
0,499,851,414,7,473,
0,504,838,410,7,539,
0,548,824,408,7,531,
0,542,811,403,7,526,
0,535,802,399,7,519,
0,529,790,396,7,515,
0,524,779,392,7,510,
0,519,896,430,7,504,
0,512,902,425,7,499,
0,507,885,420,6,494,
0,503,869,417,6,489,
0,497,856,413,6,487,
0,560,845,409,6,523,
0,551,831,405,6,518,
0,545,818,402,6,512,
0,540,806,398,6,506,
0,534,793,395,6,500,
0,527,785,391,6,497,
0,521,899,427,6,491,
0,517,899,423,6,486,
0,511,879,418,6,480,
0,505,868,414,6,477,
0,500,854,411,6,530,
0,552,840,407,5,523,
0,545,827,403,7,516,
0,539,817,399,7,512,
0,532,804,395,7,507,
0,527,792,391,7,500,
0,521,870,415,7,496,
0,515,899,433,7,492,
0,510,886,429,7,486,
0,505,870,425,7,481,
0,499,856,422,7,476,
0,495,846,417,7,526,
0,555,831,414,7,521,
0,550,819,410,7,515,
0,543,807,407,7,510,
0,536,797,403,7,504,
0,530,785,399,7,499,
0,526,888,438,7,494,
0,519,888,432,7,489,
0,513,875,428,7,483,
0,508,860,423,6,480,
0,503,847,420,6,475,
0,527,833,416,6,504,
0,553,819,412,7,499,
0,546,811,408,7,495,
0,540,798,404,7,489,
0,535,786,401,7,483,
0,528,775,398,7,479,
0,523,894,433,7,475,
0,516,883,428,7,470,
0,512,867,425,7,465,
0,507,854,420,7,460,
0,501,843,416,7,477,
0,547,830,412,7,500,
0,541,816,409,9,495,
0,535,804,406,9,489,
0,527,795,401,9,485,
0,522,783,398,9,480,
0,518,823,395,9,475,
0,512,892,433,9,470,
0,505,878,429,9,464,
0,500,864,423,9,461,
0,496,849,421,8,455,
0,492,836,417,8,481,
0,550,825,412,8,476,
0,542,812,408,8,472,
0,537,799,406,9,466,
0,531,788,401,8,461,
0,524,780,398,9,456,
0,519,872,440,8,452,
0,513,893,435,8,448,
0,508,876,431,8,444,
0,504,860,427,8,440,
0,497,850,422,8,436,
0,549,836,417,7,497,
0,555,824,415,8,492,
0,548,811,411,7,486,
0,541,801,407,7,481,
0,535,789,403,7,476,
0,530,777,399,7,472,
0,524,896,428,7,467,
0,519,889,423,7,463,
0,512,872,419,7,457,
0,508,858,415,7,453,
0,503,844,412,7,503,
0,556,834,408,7,508,
0,549,821,403,7,502,
0,543,808,399,7,496,
0,537,796,396,7,491,
0,531,787,392,7,486,
0,525,780,400,7,482,
0,521,899,430,7,476,
0,515,887,425,7,472,
0,509,873,421,7,466,
0,504,860,417,7,463,
0,499,846,414,7,512,
0,550,831,409,7,505,
0,543,822,406,7,499,
0,536,809,401,7,495,
0,530,797,399,7,489,
0,526,785,395,7,484,
0,519,893,441,7,480,
0,513,905,440,7,475,
0,508,911,435,7,471,
0,504,911,431,7,465,
0,498,896,427,7,460,
0,509,880,423,7,504,
0,553,865,418,7,497,
0,547,851,415,7,492,
0,541,838,412,7,486,
0,535,828,408,7,483,
0,528,815,403,7,478,
0,524,896,443,6,472,
0,518,903,438,6,467,
0,512,889,432,6,463,
0,507,873,428,6,459,
0,503,858,425,6,470,
0,563,844,421,6,512,
0,553,834,416,6,507,
0,547,821,412,7,502,
0,542,808,409,7,496,
0,536,796,406,7,491,
0,529,788,402,7,486,
0,524,899,399,7,481,
0,519,902,396,7,476,
0,513,883,393,6,472,
0,508,871,390,6,467,
0,502,857,387,6,519,
0,558,844,384,7,512,
0,552,830,380,7,507,
0,545,817,376,7,500,
0,540,807,374,7,496,
0,532,795,370,7,491,
0,528,881,396,7,486,
0,522,903,439,7,480,
0,516,896,434,7,476,
0,511,877,430,7,472,
0,507,863,426,7,467,
0,500,849,422,6,504,
0,557,838,417,7,500,
0,550,824,414,7,495,
0,545,812,411,7,488,
0,539,799,407,7,483,
0,532,792,403,7,480,
0,526,888,428,7,475,
0,521,888,423,7,470,
0,515,871,419,7,464,
0,510,860,415,7,460,
0,504,846,412,7,455,
0,524,831,408,7,507,
0,552,819,404,7,501,
0,546,809,400,7,496,
0,540,797,396,7,492,
0,535,785,393,7,486,
0,528,775,391,7,481,
0,523,894,432,7,476,
0,516,884,428,7,472,
0,511,869,423,7,467,
0,507,855,420,6,462,
0,501,840,415,6,520,
0,554,831,412,6,515,
0,547,817,408,7,509,
0,542,805,404,7,504,
0,536,793,400,7,497,
0,529,783,397,7,494,
0,524,821,439,7,487,
0,519,902,440,7,483,
0,513,896,434,7,478,
0,508,880,430,7,474,
0,502,865,425,6,469,
0,498,852,423,6,514,
0,547,838,417,6,508,
0,541,828,414,7,502,
0,535,815,409,7,497,
0,529,803,408,7,492,
0,524,791,403,6,487,
0,518,867,435,7,481,
0,512,876,430,6,478,
0,508,861,427,6,472,
0,502,847,423,6,467,
0,496,836,418,6,463,
0,550,824,414,6,519,
0,556,811,411,7,513,
0,550,798,408,7,508,
0,543,790,403,6,502,
0,536,777,399,7,497,
0,531,767,396,6,492,
0,527,891,438,6,487,
0,519,875,432,6,481,
0,515,864,428,6,478,
0,508,849,423,6,472,
0,504,835,420,6,518,
0,557,823,416,6,519,
0,550,813,412,6,515,
0,543,799,408,6,509,
0,538,788,405,6,504,
0,531,776,401,6,498,
0,526,772,398,6,494,
0,519,899,403,6,487,
0,515,885,399,6,483,
0,509,870,396,6,478,
0,504,859,391,6,473,
0,499,844,388,6,519,
0,559,831,385,6,513,
0,551,818,382,6,507,
0,544,808,379,6,502,
0,538,796,376,6,497,
0,534,784,373,5,492,
0,527,888,431,7,487,
0,521,903,432,7,481,
0,515,902,427,6,478,
0,510,881,423,6,472,
0,505,866,419,6,467,
0,504,852,415,6,516,
0,558,842,411,7,512,
0,551,828,407,7,505,
0,546,816,404,7,499,
0,540,803,399,7,495,
0,534,795,396,7,491,
0,527,895,435,7,485,
0,523,893,431,7,480,
0,516,875,426,7,475,
0,511,864,422,7,472,
0,505,850,417,7,466,
0,556,836,415,7,462,
0,555,824,411,7,456,
0,548,814,407,7,454,
0,542,801,403,7,449,
0,536,790,399,7,444,
0,531,804,396,7,440,
0,524,893,432,7,435,
0,519,878,428,7,432,
0,514,863,423,7,428,
0,508,848,420,7,424,
0,503,838,415,6,495,
0,568,825,412,7,490,
0,562,812,408,7,484,
0,555,799,404,7,479,
0,548,791,400,7,473,
0,542,779,397,6,470,
0,536,869,413,6,465,
0,531,903,420,6,460,
0,524,900,415,6,455,
0,519,884,412,6,451,
0,513,868,408,6,447,
0,508,855,404,6,480,
0,568,840,399,7,475,
0,561,831,396,7,471,
0,554,817,392,7,465,
0,550,805,390,7,460,
0,543,793,387,7,455,
0,536,888,444,7,451,
0,530,893,439,7,448,
0,526,875,435,7,443,
0,519,860,431,7,438,
0,514,850,427,7,435,
0,569,836,422,7,497,
0,563,824,419,7,491,
0,556,811,415,7,486,
0,550,801,411,7,480,
0,543,790,408,7,476,
0,538,777,404,7,472,
0,531,898,431,7,465,
0,526,889,425,7,461,
0,519,873,422,7,457,
0,515,859,419,6,452,
0,510,844,414,6,467,
0,568,834,410,6,460,
0,560,821,406,7,457,
0,553,808,403,7,452,
0,548,796,399,7,448,
0,542,783,396,6,443,
0,536,826,420,7,440,
0,529,902,423,7,435,
0,525,894,420,7,431,
0,519,876,415,7,427,
0,513,865,412,7,423,
0,508,851,408,6,493,
0,569,837,405,11,487,
0,563,824,401,12,481,
0,556,811,397,12,476,
0,548,799,393,12,471,
0,543,787,390,12,466,
0,536,892,433,11,461,
0,530,894,428,11,455,
0,524,876,423,11,451,
0,518,862,419,11,447,
0,512,847,415,11,499,
0,563,834,412,11,499,
0,556,821,408,11,494,
0,548,807,404,11,487,
0,543,796,400,11,483,
0,537,783,397,10,478,
0,531,888,423,11,472,
0,524,882,419,10,467,
0,519,866,415,10,463,
0,513,852,411,10,457,
0,508,841,407,9,494,
0,563,828,403,9,507,
0,556,815,399,9,501,
0,551,803,396,9,496,
0,544,791,391,9,489,
0,537,782,388,9,486,
0,531,771,393,9,481,
0,527,896,437,9,476,
0,520,880,432,9,470,
0,515,868,428,9,467,
0,510,854,423,9,462,
0,505,840,420,9,532,
0,558,826,415,8,526,
0,550,817,412,9,520,
0,543,804,408,9,515,
0,539,792,404,8,509,
0,532,781,401,9,504,
0,527,829,449,8,499,
0,520,892,450,8,494,
0,516,875,446,8,489,
0,510,860,441,7,483,
0,504,849,437,7,479,
0,511,836,432,7,516,
0,551,823,430,10,510,
0,544,809,425,12,504,
0,538,798,420,12,499,
0,531,786,417,12,494,
0,526,775,412,12,487,
0,519,892,440,12,483,
0,513,875,434,12,478,
0,508,864,430,12,472,
0,503,849,425,11,467,
0,497,836,422,11,530,
0,560,823,417,11,524,
0,552,810,413,12,519,
0,546,798,408,12,513,
0,540,785,405,12,507,
0,535,774,402,12,502,
0,529,884,441,12,496,
0,523,870,436,12,491,
0,516,855,432,12,486,
0,511,840,428,12,480,
0,505,827,423,12,476,
0,559,814,419,12,471,
0,551,804,415,15,465,
0,543,792,410,14,460,
0,537,780,407,14,455,
0,531,769,403,14,451,
0,526,842,434,14,448,
0,519,883,429,14,444,
0,513,867,424,14,440,
0,509,853,422,13,435,
0,504,839,417,13,431,
0,521,825,413,13,491,
0,552,813,408,13,484,
0,545,800,405,13,480,
0,540,788,401,13,473,
0,533,776,397,12,468,
0,527,768,395,12,463,
0,520,894,432,12,459,
0,515,878,428,12,454,
0,509,863,423,12,449,
0,504,848,419,12,446,
0,500,835,415,12,502,
0,556,822,410,12,495,
0,550,809,408,12,489,
0,544,796,403,12,484,
0,538,784,399,12,479,
0,531,774,396,11,474,
0,526,899,426,11,468,
0,519,892,422,11,463,
0,514,874,417,11,459,
0,508,864,413,11,454,
0,503,849,409,11,524,
0,554,835,404,10,517,
0,547,822,401,11,511,
0,540,809,397,11,507,
0,534,798,393,10,501,
0,527,785,390,10,496,
0,521,894,424,10,490,
0,518,898,420,10,484,
0,511,879,415,10,480,
0,505,864,412,10,475,
0,500,850,408,9,519,
0,564,839,403,9,512,
0,558,827,399,9,508,
0,551,814,396,9,502,
0,545,801,392,9,496,
0,539,790,390,9,491,
0,533,804,414,9,487,
0,527,891,427,9,481,
0,521,874,423,9,476,
0,516,860,419,9,472,
0,511,849,415,9,468,
0,504,835,411,8,520,
0,570,822,408,8,514,
0,563,809,403,9,508,
0,556,799,399,9,504,
0,548,788,396,9,498,
0,543,776,393,9,492,
0,537,890,446,9,487,
0,531,903,440,9,483,
0,525,890,435,9,478,
0,520,873,432,8,473,
0,515,859,427,9,468,
0,516,849,423,8,489,
0,543,835,419,8,485,
0,537,822,415,7,480,
0,531,809,412,9,475,
0,525,799,408,9,470,
0,519,788,404,9,466,
0,515,897,443,9,461,
0,509,905,438,9,455,
0,504,897,433,9,451,
0,499,878,428,8,448,
0,493,863,425,8,480,
0,558,849,421,9,521,
0,550,835,417,10,515,
0,543,825,412,10,510,
0,536,813,408,10,504,
